,link,detail
52,https://www.linkedin.com/jobs/view/data-scientist-at-amicus-3390225272?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=Fnc0d3Yl0gMdPSwjgwBalg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Amicus hiring Data Scientist in New York, New York, United States | LinkedIn"
53,https://www.linkedin.com/jobs/view/data-scientist-nyc-at-carbonchain-3382422661?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=UQQ9F%2BxypfnEmw7Rq0NWKQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"CarbonChain hiring Data Scientist [NYC] in New York, New York, United States | LinkedIn"
54,https://www.linkedin.com/jobs/view/data-scientist-at-catalist-3388937849?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=oYIQAbzFmnBbkLiFCaFkiw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Catalist hiring Data Scientist in Washington, District of Columbia, United States | LinkedIn"
55,https://www.linkedin.com/jobs/view/junior-data-scientist-at-focuskpi-inc-3385020737?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=l7zyc9FUGee4IhvbtYY%2BPA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"FocusKPI, Inc. hiring Junior Data Scientist in Boston, Massachusetts, United States | LinkedIn"
56,https://www.linkedin.com/jobs/view/data-scientist-full-time-at-bardess-group-ltd-3389875542?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=9dCUNzUACMA8XlQ1VkywXw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bardess Group Ltd hiring Data Scientist Full Time in New York, New York, United States | LinkedIn"
57,https://www.linkedin.com/jobs/view/data-scientist-at-pomeroy-3384652177?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=mRDL2MMB3UBPq2LcLfUEfA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Pomeroy hiring Data Scientist in Marietta, Georgia, United States | LinkedIn"
58,https://www.linkedin.com/jobs/view/data-scientist-at-bicp-3378146719?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=dF7KbRtvySOsnLj5OHdbXg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"BICP hiring Data Scientist in Beaverton, Oregon, United States | LinkedIn"
59,https://www.linkedin.com/jobs/view/2023-university-graduate-data-scientist-at-uber-3379618648?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=%2Fd2%2BSCFY6mNpWZtqflxUww%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring 2023 University Graduate - Data Scientist in San Francisco, California, United States | LinkedIn"
60,https://www.linkedin.com/jobs/view/junior-data-scientist-at-clearml-3393620410?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=WAhMT3bG3nZkjx44UumpTQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,ClearML hiring Junior Data Scientist in United States | LinkedIn
61,https://www.linkedin.com/jobs/view/bio-data-scientist-at-x4-technology-3374644533?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=DV707XG6pQbtQ%2BWeeOYyNg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"X4 Technology hiring Bio Data Scientist in Boston, Massachusetts, United States | LinkedIn"
